id,s,i,r,d,population,long,lat,date
ES,0,196687,30513,11198,0,-3.7492199999999998,40.463667,04-03-2020,
ES,0,187039,26743,10348,0,-3.7492199999999998,40.463667,04-02-2020,
ES,0,176202,22647,9387,0,-3.7492199999999998,40.463667,04-01-2020,
ES,0,164123,19259,8464,0,-3.7492199999999998,40.463667,03-31-2020,
ES,0,151416,16780,7716,0,-3.7492199999999998,40.463667,03-30-2020,
ES,0,138708,14709,6803,0,-3.7492199999999998,40.463667,03-29-2020,
ES,0,128203,12285,5982,0,-3.7492199999999998,40.463667,03-28-2020,
ES,0,116943,9357,5138,0,-3.7492199999999998,40.463667,03-27-2020,
ES,0,104192,7015,4365,0,-3.7492199999999998,40.463667,03-26-2020,
ES,0,90016,5367,3647,0,-3.7492199999999998,40.463667,03-25-2020,
ES,0,73168,3794,2808,0,-3.7492199999999998,40.463667,03-24-2020,
ES,0,64606,3355,2311,0,-3.7492199999999998,40.463667,03-23-2020,
ES,0,53325,2125,1756,0,-3.7492199999999998,40.463667,03-22-2020,
LK,0,300,27,5,0,80.77179699999998,7.873054,04-04-2020,
LK,0,290,24,4,0,80.77179699999998,7.873054,04-03-2020,
LK,0,277,21,4,0,80.77179699999998,7.873054,04-02-2020,
LK,0,268,21,3,0,80.77179699999998,7.873054,04-01-2020,
LK,0,267,17,2,0,80.77179699999998,7.873054,03-31-2020,
LK,0,227,15,2,0,80.77179699999998,7.873054,03-30-2020,
LK,0,222,11,1,0,80.77179699999998,7.873054,03-29-2020,
LK,0,216,9,1,0,80.77179699999998,7.873054,03-28-2020,
LK,0,205,7,0,0,80.77179699999998,7.873054,03-27-2020,
LK,0,205,7,0,0,80.77179699999998,7.873054,03-26-2020,
LK,0,201,3,0,0,80.77179699999998,7.873054,03-25-2020,
LK,0,202,2,0,0,80.77179699999998,7.873054,03-24-2020,
LK,0,192,2,0,0,80.77179699999998,7.873054,03-23-2020,
LK,0,161,3,0,0,80.77179699999998,7.873054,03-22-2020,
SD,0,16,2,2,0,30.2176,12.8628,04-04-2020,
SD,0,16,2,2,0,30.2176,12.8628,04-03-2020,
SD,0,12,2,2,0,30.2176,12.8628,04-02-2020,
SD,0,10,2,2,0,30.2176,12.8628,04-01-2020,
SD,0,11,1,2,0,30.2176,12.8628,03-31-2020,
SD,0,10,0,2,0,30.2176,12.8628,03-30-2020,
SD,0,11,0,1,0,30.2176,12.8628,03-29-2020,
SD,0,9,0,1,0,30.2176,12.8628,03-28-2020,
SD,0,5,0,1,0,30.2176,12.8628,03-27-2020,
SD,0,5,0,1,0,30.2176,12.8628,03-26-2020,
SD,0,5,0,1,0,30.2176,12.8628,03-25-2020,
SD,0,5,0,1,0,30.2176,12.8628,03-24-2020,
SD,0,3,0,1,0,30.2176,12.8628,03-23-2020,
SD,0,3,0,1,0,30.2176,12.8628,03-22-2020,
SR,0,19,0,1,0,-56.0278,3.9193,04-04-2020,
SR,0,19,0,1,0,-56.0278,3.9193,04-03-2020,
SR,0,20,0,0,0,-56.0278,3.9193,04-02-2020,
SR,0,20,0,0,0,-56.0278,3.9193,04-01-2020,
SR,0,18,0,0,0,-56.0278,3.9193,03-31-2020,
SR,0,16,0,0,0,-56.0278,3.9193,03-30-2020,
SR,0,16,0,0,0,-56.0278,3.9193,03-29-2020,
SR,0,16,0,0,0,-56.0278,3.9193,03-28-2020,
SR,0,16,0,0,0,-56.0278,3.9193,03-27-2020,
SR,0,16,0,0,0,-56.0278,3.9193,03-26-2020,
SR,0,16,0,0,0,-56.0278,3.9193,03-25-2020,
SR,0,14,0,0,0,-56.0278,3.9193,03-24-2020,
SR,0,10,0,0,0,-56.0278,3.9193,03-23-2020,
SR,0,10,0,0,0,-56.0278,3.9193,03-22-2020,
SE,0,12308,205,373,0,18.643501,60.128161,04-04-2020,
SE,0,11699,205,358,0,18.643501,60.128161,04-03-2020,
SE,0,10725,103,308,0,18.643501,60.128161,04-02-2020,
SE,0,9552,103,239,0,18.643501,60.128161,04-01-2020,
SE,0,8674,16,180,0,18.643501,60.128161,03-31-2020,
SE,0,7894,16,146,0,18.643501,60.128161,03-30-2020,
SE,0,7274,16,110,0,18.643501,60.128161,03-29-2020,
SE,0,6773,16,105,0,18.643501,60.128161,03-28-2020,
SE,0,6017,16,105,0,18.643501,60.128161,03-27-2020,
SE,0,5587,16,77,0,18.643501,60.128161,03-26-2020,
SE,0,4974,16,62,0,18.643501,60.128161,03-25-2020,
SE,0,4520,16,36,0,18.643501,60.128161,03-24-2020,
SE,0,4051,16,25,0,18.643501,60.128161,03-23-2020,
SE,0,3825,16,21,0,18.643501,60.128161,03-22-2020,
CH,0,33929,6415,666,0,8.2275,46.8182,04-04-2020,
CH,0,33775,4846,591,0,8.2275,46.8182,04-03-2020,
CH,0,33105,4013,536,0,8.2275,46.8182,04-02-2020,
CH,0,32081,2967,488,0,8.2275,46.8182,04-01-2020,
CH,0,30954,1823,433,0,8.2275,46.8182,03-31-2020,
CH,0,29662,1823,359,0,8.2275,46.8182,03-30-2020,
CH,0,27763,1595,300,0,8.2275,46.8182,03-29-2020,
CH,0,26358,1530,264,0,8.2275,46.8182,03-28-2020,
CH,0,24095,1530,231,0,8.2275,46.8182,03-27-2020,
CH,0,23300,131,191,0,8.2275,46.8182,03-26-2020,
CH,0,21510,131,153,0,8.2275,46.8182,03-25-2020,
CH,0,19501,131,122,0,8.2275,46.8182,03-24-2020,
CH,0,17339,131,120,0,8.2275,46.8182,03-23-2020,
CH,0,14719,131,98,0,8.2275,46.8182,03-22-2020,
SY,0,28,2,2,0,38.99681500000001,34.802075,04-04-2020,
SY,0,30,0,2,0,38.99681500000001,34.802075,04-03-2020,
SY,0,30,0,2,0,38.99681500000001,34.802075,04-02-2020,
SY,0,18,0,2,0,38.99681500000001,34.802075,04-01-2020,
SY,0,18,0,2,0,38.99681500000001,34.802075,03-31-2020,
SY,0,18,0,2,0,38.99681500000001,34.802075,03-30-2020,
SY,0,17,0,1,0,38.99681500000001,34.802075,03-29-2020,
SY,0,10,0,0,0,38.99681500000001,34.802075,03-28-2020,
SY,0,10,0,0,0,38.99681500000001,34.802075,03-27-2020,
SY,0,10,0,0,0,38.99681500000001,34.802075,03-26-2020,
SY,0,10,0,0,0,38.99681500000001,34.802075,03-25-2020,
SY,0,2,0,0,0,38.99681500000001,34.802075,03-24-2020,
SY,0,2,0,0,0,38.99681500000001,34.802075,03-23-2020,
SY,0,2,0,0,0,38.99681500000001,34.802075,03-22-2020,
TW,0,655,50,5,0,121.0,23.7,04-04-2020,
TW,0,641,50,5,0,121.0,23.7,04-03-2020,
TW,0,628,45,5,0,121.0,23.7,04-02-2020,
TW,0,614,39,5,0,121.0,23.7,04-01-2020,
TW,0,600,39,5,0,121.0,23.7,03-31-2020,
TW,0,568,39,5,0,121.0,23.7,03-30-2020,
TW,0,564,30,2,0,121.0,23.7,03-29-2020,
TW,0,534,30,2,0,121.0,23.7,03-28-2020,
TW,0,503,29,2,0,121.0,23.7,03-27-2020,
TW,0,473,29,2,0,121.0,23.7,03-26-2020,
TW,0,439,29,2,0,121.0,23.7,03-25-2020,
TW,0,399,29,2,0,121.0,23.7,03-24-2020,
TW,0,360,28,2,0,121.0,23.7,03-23-2020,
TW,0,308,28,2,0,121.0,23.7,03-22-2020,
TZ,0,36,3,1,0,34.888822,-6.369028,04-04-2020,
TZ,0,36,3,1,0,34.888822,-6.369028,04-03-2020,
TZ,0,37,2,1,0,34.888822,-6.369028,04-02-2020,
TZ,0,38,1,1,0,34.888822,-6.369028,04-01-2020,
TZ,0,36,1,1,0,34.888822,-6.369028,03-31-2020,
TZ,0,37,1,0,0,34.888822,-6.369028,03-30-2020,
TZ,0,27,1,0,0,34.888822,-6.369028,03-29-2020,
TZ,0,27,1,0,0,34.888822,-6.369028,03-28-2020,
TZ,0,25,1,0,0,34.888822,-6.369028,03-27-2020,
TZ,0,26,0,0,0,34.888822,-6.369028,03-26-2020,
TZ,0,24,0,0,0,34.888822,-6.369028,03-25-2020,
TZ,0,24,0,0,0,34.888822,-6.369028,03-24-2020,
TZ,0,24,0,0,0,34.888822,-6.369028,03-23-2020,
TZ,0,24,0,0,0,34.888822,-6.369028,03-22-2020,
TH,0,3440,674,20,0,100.992541,15.870032,04-04-2020,
TH,0,3325,612,19,0,100.992541,15.870032,04-03-2020,
TH,0,3230,505,15,0,100.992541,15.870032,04-02-2020,
TH,0,3025,505,12,0,100.992541,15.870032,04-01-2020,
TH,0,2950,342,10,0,100.992541,15.870032,03-31-2020,
TH,0,2810,229,9,0,100.992541,15.870032,03-30-2020,
TH,0,2672,97,7,0,100.992541,15.870032,03-29-2020,
TH,0,2387,97,6,0,100.992541,15.870032,03-28-2020,
TH,0,2170,97,5,0,100.992541,15.870032,03-27-2020,
TH,0,1998,88,4,0,100.992541,15.870032,03-26-2020,
TH,0,1794,70,4,0,100.992541,15.870032,03-25-2020,
TH,0,1598,52,4,0,100.992541,15.870032,03-24-2020,
TH,0,1389,52,1,0,100.992541,15.870032,03-23-2020,
TH,0,1153,44,1,0,100.992541,15.870032,03-22-2020,
TL,0,2,0,0,0,125.727539,-8.874217,04-04-2020,
TL,0,2,0,0,0,125.727539,-8.874217,04-03-2020,
TL,0,2,0,0,0,125.727539,-8.874217,04-02-2020,
TL,0,2,0,0,0,125.727539,-8.874217,04-01-2020,
TL,0,2,0,0,0,125.727539,-8.874217,03-31-2020,
TL,0,2,0,0,0,125.727539,-8.874217,03-30-2020,
TL,0,2,0,0,0,125.727539,-8.874217,03-29-2020,
TL,0,2,0,0,0,125.727539,-8.874217,03-28-2020,
TL,0,2,0,0,0,125.727539,-8.874217,03-27-2020,
TL,0,2,0,0,0,125.727539,-8.874217,03-26-2020,
TL,0,2,0,0,0,125.727539,-8.874217,03-25-2020,
TL,0,2,0,0,0,125.727539,-8.874217,03-24-2020,
TL,0,2,0,0,0,125.727539,-8.874217,03-23-2020,
TL,0,2,0,0,0,125.727539,-8.874217,03-22-2020,
TG,0,62,17,3,0,0.8248,8.6195,04-04-2020,
TG,0,60,17,3,0,0.8248,8.6195,04-03-2020,
TG,0,59,17,2,0,0.8248,8.6195,04-02-2020,
TG,0,60,10,2,0,0.8248,8.6195,04-01-2020,
TG,0,57,10,1,0,0.8248,8.6195,03-31-2020,
TG,0,58,1,1,0,0.8248,8.6195,03-30-2020,
TG,0,48,1,1,0,0.8248,8.6195,03-29-2020,
TG,0,48,1,1,0,0.8248,8.6195,03-28-2020,
TG,0,48,1,1,0,0.8248,8.6195,03-27-2020,
TG,0,45,1,0,0,0.8248,8.6195,03-26-2020,
TG,0,45,1,0,0,0.8248,8.6195,03-25-2020,
TG,0,39,1,0,0,0.8248,8.6195,03-24-2020,
TG,0,36,0,0,0,0.8248,8.6195,03-23-2020,
TG,0,32,0,0,0,0.8248,8.6195,03-22-2020,
TT,0,199,1,6,0,-61.2225,10.6918,04-04-2020,
TT,0,189,1,6,0,-61.2225,10.6918,04-03-2020,
TT,0,182,1,5,0,-61.2225,10.6918,04-02-2020,
TT,0,174,1,5,0,-61.2225,10.6918,04-01-2020,
TT,0,170,1,3,0,-61.2225,10.6918,03-31-2020,
TT,0,160,1,3,0,-61.2225,10.6918,03-30-2020,
TT,0,152,1,3,0,-61.2225,10.6918,03-29-2020,
TT,0,144,1,3,0,-61.2225,10.6918,03-28-2020,
TT,0,129,1,2,0,-61.2225,10.6918,03-27-2020,
TT,0,129,0,1,0,-61.2225,10.6918,03-26-2020,
TT,0,119,0,1,0,-61.2225,10.6918,03-25-2020,
TT,0,114,0,0,0,-61.2225,10.6918,03-24-2020,
TT,0,102,0,0,0,-61.2225,10.6918,03-23-2020,
TT,0,100,0,0,0,-61.2225,10.6918,03-22-2020,
TN,0,1083,5,18,0,9.537499,33.886917,04-04-2020,
TN,0,967,5,18,0,9.537499,33.886917,04-03-2020,
TN,0,891,5,14,0,9.537499,33.886917,04-02-2020,
TN,0,829,5,12,0,9.537499,33.886917,04-01-2020,
TN,0,775,3,10,0,9.537499,33.886917,03-31-2020,
TN,0,613,3,8,0,9.537499,33.886917,03-30-2020,
TN,0,614,2,8,0,9.537499,33.886917,03-29-2020,
TN,0,546,2,8,0,9.537499,33.886917,03-28-2020,
TN,0,446,2,6,0,9.537499,33.886917,03-27-2020,
TN,0,386,2,6,0,9.537499,33.886917,03-26-2020,
TN,0,339,2,5,0,9.537499,33.886917,03-25-2020,
TN,0,223,1,4,0,9.537499,33.886917,03-24-2020,
TN,0,174,1,3,0,9.537499,33.886917,03-23-2020,
TN,0,146,1,3,0,9.537499,33.886917,03-22-2020,
TR,0,46581,786,501,0,35.2433,38.9637,04-04-2020,
TR,0,40933,484,425,0,35.2433,38.9637,04-03-2020,
TR,0,35499,415,356,0,35.2433,38.9637,04-02-2020,
TR,0,30748,333,277,0,35.2433,38.9637,04-01-2020,
TR,0,26605,243,214,0,35.2433,38.9637,03-31-2020,
TR,0,21324,162,168,0,35.2433,38.9637,03-30-2020,
TR,0,18198,105,131,0,35.2433,38.9637,03-29-2020,
TR,0,14626,70,108,0,35.2433,38.9637,03-28-2020,
TR,0,11262,42,92,0,35.2433,38.9637,03-27-2020,
TR,0,7157,26,75,0,35.2433,38.9637,03-26-2020,
TR,0,4781,26,59,0,35.2433,38.9637,03-25-2020,
TR,0,3700,0,44,0,35.2433,38.9637,03-24-2020,
TR,0,3021,0,37,0,35.2433,38.9637,03-23-2020,
TR,0,2442,0,30,0,35.2433,38.9637,03-22-2020,
UG,0,96,0,0,0,32.290275,1.373333,04-04-2020,
UG,0,96,0,0,0,32.290275,1.373333,04-03-2020,
UG,0,90,0,0,0,32.290275,1.373333,04-02-2020,
UG,0,88,0,0,0,32.290275,1.373333,04-01-2020,
UG,0,88,0,0,0,32.290275,1.373333,03-31-2020,
UG,0,66,0,0,0,32.290275,1.373333,03-30-2020,
UG,0,66,0,0,0,32.290275,1.373333,03-29-2020,
UG,0,60,0,0,0,32.290275,1.373333,03-28-2020,
UG,0,46,0,0,0,32.290275,1.373333,03-27-2020,
UG,0,28,0,0,0,32.290275,1.373333,03-26-2020,
UG,0,28,0,0,0,32.290275,1.373333,03-25-2020,
UG,0,18,0,0,0,32.290275,1.373333,03-24-2020,
UG,0,18,0,0,0,32.290275,1.373333,03-23-2020,
UG,0,2,0,0,0,32.290275,1.373333,03-22-2020,
UA,0,2393,25,32,0,31.1656,48.3794,04-04-2020,
UA,0,2095,22,27,0,31.1656,48.3794,04-03-2020,
UA,0,1753,19,22,0,31.1656,48.3794,04-02-2020,
UA,0,1555,13,20,0,31.1656,48.3794,04-01-2020,
UA,0,1263,10,17,0,31.1656,48.3794,03-31-2020,
UA,0,1075,8,13,0,31.1656,48.3794,03-30-2020,
UA,0,934,6,10,0,31.1656,48.3794,03-29-2020,
UA,0,698,5,9,0,31.1656,48.3794,03-28-2020,
UA,0,610,5,5,0,31.1656,48.3794,03-27-2020,
UA,0,386,1,5,0,31.1656,48.3794,03-26-2020,
UA,0,284,1,5,0,31.1656,48.3794,03-25-2020,
UA,0,190,1,3,0,31.1656,48.3794,03-24-2020,
UA,0,142,1,3,0,31.1656,48.3794,03-23-2020,
UA,0,142,1,3,0,31.1656,48.3794,03-22-2020,
AE,0,2875,125,10,0,53.847818000000004,23.424076,04-04-2020,
AE,0,2411,108,9,0,53.847818000000004,23.424076,04-03-2020,
AE,0,1944,96,8,0,53.847818000000004,23.424076,04-02-2020,
AE,0,1559,61,8,0,53.847818000000004,23.424076,04-01-2020,
AE,0,1261,61,6,0,53.847818000000004,23.424076,03-31-2020,
AE,0,1156,61,5,0,53.847818000000004,23.424076,03-30-2020,
AE,0,1079,58,3,0,53.847818000000004,23.424076,03-29-2020,
AE,0,882,52,2,0,53.847818000000004,23.424076,03-28-2020,
AE,0,756,52,2,0,53.847818000000004,23.424076,03-27-2020,
AE,0,612,52,2,0,53.847818000000004,23.424076,03-26-2020,
AE,0,612,52,2,0,53.847818000000004,23.424076,03-25-2020,
AE,0,449,45,2,0,53.847818000000004,23.424076,03-24-2020,
AE,0,353,41,2,0,53.847818000000004,23.424076,03-23-2020,
AE,0,266,38,2,0,53.847818000000004,23.424076,03-22-2020,
UY,0,702,93,5,0,-55.7658,-32.5228,04-04-2020,
UY,0,666,68,4,0,-55.7658,-32.5228,04-03-2020,
UY,0,634,62,4,0,-55.7658,-32.5228,04-02-2020,
UY,0,633,41,2,0,-55.7658,-32.5228,04-01-2020,
UY,0,634,41,1,0,-55.7658,-32.5228,03-31-2020,
UY,0,619,0,1,0,-55.7658,-32.5228,03-30-2020,
UY,0,607,0,1,0,-55.7658,-32.5228,03-29-2020,
UY,0,548,0,0,0,-55.7658,-32.5228,03-28-2020,
UY,0,476,0,0,0,-55.7658,-32.5228,03-27-2020,
UY,0,434,0,0,0,-55.7658,-32.5228,03-26-2020,
UY,0,378,0,0,0,-55.7658,-32.5228,03-25-2020,
UY,0,324,0,0,0,-55.7658,-32.5228,03-24-2020,
UY,0,316,0,0,0,-55.7658,-32.5228,03-23-2020,
UY,0,270,0,0,0,-55.7658,-32.5228,03-22-2020,
UZ,0,505,25,2,0,64.585262,41.377491,04-04-2020,
UZ,0,427,25,2,0,64.585262,41.377491,04-03-2020,
UZ,0,383,25,2,0,64.585262,41.377491,04-02-2020,
UZ,0,348,12,2,0,64.585262,41.377491,04-01-2020,
UZ,0,335,7,2,0,64.585262,41.377491,03-31-2020,
UZ,0,289,7,2,0,64.585262,41.377491,03-30-2020,
UZ,0,279,7,2,0,64.585262,41.377491,03-29-2020,
UZ,0,201,5,2,0,64.585262,41.377491,03-28-2020,
UZ,0,170,5,1,0,64.585262,41.377491,03-27-2020,
UZ,0,150,0,0,0,64.585262,41.377491,03-26-2020,
UZ,0,120,0,0,0,64.585262,41.377491,03-25-2020,
UZ,0,100,0,0,0,64.585262,41.377491,03-24-2020,
UZ,0,92,0,0,0,64.585262,41.377491,03-23-2020,
UZ,0,86,0,0,0,64.585262,41.377491,03-22-2020,
VE,0,251,52,7,0,-66.5897,6.4238,04-04-2020,
VE,0,247,52,7,0,-66.5897,6.4238,04-03-2020,
VE,0,244,43,5,0,-66.5897,6.4238,04-02-2020,
VE,0,242,41,3,0,-66.5897,6.4238,04-01-2020,
VE,0,228,39,3,0,-66.5897,6.4238,03-31-2020,
VE,0,228,39,3,0,-66.5897,6.4238,03-30-2020,
VE,0,197,39,2,0,-66.5897,6.4238,03-29-2020,
VE,0,197,39,2,0,-66.5897,6.4238,03-28-2020,
VE,0,182,31,1,0,-66.5897,6.4238,03-27-2020,
VE,0,199,15,0,0,-66.5897,6.4238,03-26-2020,
VE,0,167,15,0,0,-66.5897,6.4238,03-25-2020,
VE,0,153,15,0,0,-66.5897,6.4238,03-24-2020,
VE,0,139,15,0,0,-66.5897,6.4238,03-23-2020,
VE,0,125,15,0,0,-66.5897,6.4238,03-22-2020,
VN,0,390,90,0,0,108.277199,14.058323999999999,04-04-2020,
VN,0,389,85,0,0,108.277199,14.058323999999999,04-03-2020,
VN,0,391,75,0,0,108.277199,14.058323999999999,04-02-2020,
VN,0,373,63,0,0,108.277199,14.058323999999999,04-01-2020,
VN,0,366,58,0,0,108.277199,14.058323999999999,03-31-2020,
VN,0,351,55,0,0,108.277199,14.058323999999999,03-30-2020,
VN,0,351,25,0,0,108.277199,14.058323999999999,03-29-2020,
VN,0,327,21,0,0,108.277199,14.058323999999999,03-28-2020,
VN,0,306,20,0,0,108.277199,14.058323999999999,03-27-2020,
VN,0,286,20,0,0,108.277199,14.058323999999999,03-26-2020,
VN,0,265,17,0,0,108.277199,14.058323999999999,03-25-2020,
VN,0,251,17,0,0,108.277199,14.058323999999999,03-24-2020,
VN,0,229,17,0,0,108.277199,14.058323999999999,03-23-2020,
VN,0,209,17,0,0,108.277199,14.058323999999999,03-22-2020,
West Bank and Gaza,0,412,21,1,0,35.2332,31.9522,04-04-2020,
West Bank and Gaza,0,366,21,1,0,35.2332,31.9522,04-03-2020,
West Bank and Gaza,0,303,18,1,0,35.2332,31.9522,04-02-2020,
West Bank and Gaza,0,249,18,1,0,35.2332,31.9522,04-01-2020,
West Bank and Gaza,0,219,18,1,0,35.2332,31.9522,03-31-2020,
West Bank and Gaza,0,213,18,1,0,35.2332,31.9522,03-30-2020,
West Bank and Gaza,0,199,18,1,0,35.2332,31.9522,03-29-2020,
West Bank and Gaza,0,177,18,1,0,35.2332,31.9522,03-28-2020,
West Bank and Gaza,0,164,17,1,0,35.2332,31.9522,03-27-2020,
West Bank and Gaza,0,150,17,1,0,35.2332,31.9522,03-26-2020,
West Bank and Gaza,0,0,0,0,0,35.2332,31.9522,03-25-2020,
West Bank and Gaza,0,0,0,0,0,35.2332,31.9522,03-24-2020,
West Bank and Gaza,0,0,0,0,0,35.2332,31.9522,03-23-2020,
West Bank and Gaza,0,0,0,0,0,35.2332,31.9522,03-22-2020,
ZM,0,75,2,1,0,27.849332,-13.133897,04-04-2020,
ZM,0,75,2,1,0,27.849332,-13.133897,04-03-2020,
ZM,0,77,0,1,0,27.849332,-13.133897,04-02-2020,
ZM,0,72,0,0,0,27.849332,-13.133897,04-01-2020,
ZM,0,70,0,0,0,27.849332,-13.133897,03-31-2020,
ZM,0,70,0,0,0,27.849332,-13.133897,03-30-2020,
ZM,0,58,0,0,0,27.849332,-13.133897,03-29-2020,
ZM,0,56,0,0,0,27.849332,-13.133897,03-28-2020,
ZM,0,44,0,0,0,27.849332,-13.133897,03-27-2020,
ZM,0,32,0,0,0,27.849332,-13.133897,03-26-2020,
ZM,0,24,0,0,0,27.849332,-13.133897,03-25-2020,
ZM,0,6,0,0,0,27.849332,-13.133897,03-24-2020,
ZM,0,6,0,0,0,27.849332,-13.133897,03-23-2020,
ZM,0,6,0,0,0,27.849332,-13.133897,03-22-2020,
ZW,0,17,0,1,0,29.154857,-19.015438,04-04-2020,
ZW,0,17,0,1,0,29.154857,-19.015438,04-03-2020,
ZW,0,17,0,1,0,29.154857,-19.015438,04-02-2020,
ZW,0,15,0,1,0,29.154857,-19.015438,04-01-2020,
ZW,0,15,0,1,0,29.154857,-19.015438,03-31-2020,
ZW,0,13,0,1,0,29.154857,-19.015438,03-30-2020,
ZW,0,13,0,1,0,29.154857,-19.015438,03-29-2020,
ZW,0,13,0,1,0,29.154857,-19.015438,03-28-2020,
ZW,0,9,0,1,0,29.154857,-19.015438,03-27-2020,
ZW,0,5,0,1,0,29.154857,-19.015438,03-26-2020,
ZW,0,5,0,1,0,29.154857,-19.015438,03-25-2020,
ZW,0,5,0,1,0,29.154857,-19.015438,03-24-2020,
ZW,0,5,0,1,0,29.154857,-19.015438,03-23-2020,
ZW,0,6,0,0,0,29.154857,-19.015438,03-22-2020,
Cruise Ship,0,0,0,0,0,0.0,0.0,04-04-2020,
Cruise Ship,0,0,0,0,0,0.0,0.0,04-03-2020,
Cruise Ship,0,0,0,0,0,0.0,0.0,04-02-2020,
Cruise Ship,0,0,0,0,0,0.0,0.0,04-01-2020,
Cruise Ship,0,0,0,0,0,0.0,0.0,03-31-2020,
Cruise Ship,0,0,0,0,0,0.0,0.0,03-30-2020,
Cruise Ship,0,0,0,0,0,0.0,0.0,03-29-2020,
Cruise Ship,0,0,0,0,0,0.0,0.0,03-28-2020,
Cruise Ship,0,0,0,0,0,0.0,0.0,03-27-2020,
Cruise Ship,0,0,0,0,0,0.0,0.0,03-26-2020,
Cruise Ship,0,0,0,0,0,0.0,0.0,03-25-2020,
Cruise Ship,0,0,0,0,0,0.0,0.0,03-24-2020,
Cruise Ship,0,849,567,8,0,0.0,0.0,03-23-2020,
Cruise Ship,0,849,567,8,0,0.0,0.0,03-22-2020,
-----
from,to,weight
US,US,10518.0,
US,BS,72.0,
US,AR,10.0,
US,DO,61.0,
US,MX,369.0,
US,VE,9.0,
US,BE,21.0,
US,GR,3.0,
US,GB,207.0,
US,ES,57.0,
US,JP,80.0,
US,AG,7.0,
US,BZ,10.0,
US,FR,89.0,
US,IE,35.0,
US,IT,53.0,
US,DE,114.0,
US,BR,57.0,
US,CR,34.0,
US,JM,40.0,
US,CA,364.0,
US,AU,26.0,
US,CO,49.0,
US,GT,17.0,
US,KR,39.0,
US,PE,21.0,
US,PA,29.0,
US,HN,19.0,
US,SV,28.0,
US,CL,10.0,
US,HT,13.0,
US,AE,24.0,
US,QA,11.0,
US,JO,6.0,
US,EC,8.0,
US,FI,4.0,
US,CH,29.0,
US,FJ,6.0,
US,CN,59.0,
US,PY,2.0,
US,BB,3.0,
US,GD,4.0,
US,BO,2.0,
US,NI,6.0,
US,UY,2.0,
US,TT,11.0,
US,NL,39.0,
US,PT,14.0,
US,IL,7.0,
US,IN,5.0,
US,MA,1.0,
US,ZA,5.0,
US,TW,14.0,
US,GY,2.0,
US,NG,3.0,
US,RU,13.0,
US,GH,1.0,
US,SN,4.0,
US,SE,7.0,
US,DK,7.0,
US,NO,5.0,
US,ET,1.0,
US,IS,7.0,
US,NZ,10.0,
US,LV,1.0,
US,KW,2.0,
US,PL,2.0,
US,EG,2.0,
US,AT,6.0,
US,PK,1.0,
US,PH,3.0,
US,UA,1.0,
US,SA,5.0,
US,TR,10.0,
CA,CA,1167.0,
CA,CN,12.0,
CA,BE,6.0,
CA,US,363.0,
CA,JO,3.0,
CA,GB,41.0,
CA,JP,10.0,
CA,DE,19.0,
CA,DO,14.0,
CA,CU,27.0,
CA,FR,19.0,
CA,MX,27.0,
CA,CH,8.0,
CA,JM,10.0,
CA,HT,1.0,
CA,BS,4.0,
CA,NZ,2.0,
CA,KR,4.0,
CA,AU,1.0,
CA,AG,2.0,
CA,AE,3.0,
CA,ES,4.0,
CA,BB,2.0,
CA,CO,2.0,
CA,DK,3.0,
CA,IE,3.0,
CA,IT,8.0,
CA,GD,2.0,
CA,BR,2.0,
CA,TR,2.0,
CA,PE,1.0,
CA,CR,3.0,
CA,CL,1.0,
CA,IL,2.0,
CA,AT,3.0,
CA,PL,2.0,
CA,DZ,1.0,
CA,MA,1.0,
CA,SV,1.0,
CA,TW,3.0,
CA,GY,2.0,
CA,TT,2.0,
CA,PA,1.0,
CA,NL,10.0,
CA,ET,1.0,
CA,IS,2.0,
CA,TN,1.0,
CA,EG,1.0,
CA,PK,3.0,
CA,PH,1.0,
CA,QA,1.0,
CA,PT,9.0,
CA,RU,2.0,
CA,SA,1.0,
CA,GR,2.0,
GB,CH,24.0,
GB,SL,2.0,
GB,MA,26.0,
GB,DE,103.0,
GB,MD,1.0,
GB,IN,17.0,
GB,GR,105.0,
GB,GB,309.0,
GB,US,203.0,
GB,GH,2.0,
GB,ES,518.0,
GB,NL,53.0,
GB,SE,27.0,
GB,AE,21.0,
GB,BH,4.0,
GB,NO,42.0,
GB,IT,141.0,
GB,BE,17.0,
GB,FR,158.0,
GB,HU,15.0,
GB,DK,22.0,
GB,ZA,8.0,
GB,IE,63.0,
GB,UG,2.0,
GB,FI,9.0,
GB,TR,91.0,
GB,MY,2.0,
GB,KW,3.0,
GB,CY,55.0,
GB,PT,84.0,
GB,LU,4.0,
GB,KE,3.0,
GB,RO,11.0,
GB,CZ,16.0,
GB,BG,10.0,
GB,AT,11.0,
GB,PL,67.0,
GB,CA,42.0,
GB,HR,35.0,
GB,DZ,3.0,
GB,MX,14.0,
GB,BY,1.0,
GB,AG,3.0,
GB,BB,4.0,
GB,JM,4.0,
GB,MT,28.0,
GB,MV,1.0,
GB,MU,4.0,
GB,AL,1.0,
GB,NG,4.0,
GB,KZ,3.0,
GB,JO,2.0,
GB,LB,3.0,
GB,TH,4.0,
GB,EG,33.0,
GB,CN,11.0,
GB,RU,8.0,
GB,AR,1.0,
GB,BR,3.0,
GB,AZ,2.0,
GB,JP,8.0,
GB,KR,3.0,
GB,SA,8.0,
GB,UA,3.0,
GB,AO,1.0,
